ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
647527207923570290!,talented-antique-butterfly,0.000000,-2.159157,-1.506979,-1.159450,-1.482782,-0.846004,-0.533176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.198572,0.126801,-0.400883,0.145068,-0.405503,0.128442
647527207923570290!,talented-antique-butterfly,0.010000,-2.163157,-1.496780,-1.163327,-1.478347,-0.848498,-0.529199,-0.795728,2.037778,-0.774532,0.888070,-0.496325,0.795790,-0.148273,0.098473,-0.284884,0.103916,-0.286301,0.113623
647527207923570290!,talented-antique-butterfly,0.020000,-2.173317,-1.468897,-1.173320,-1.466413,-0.855151,-0.518379,-1.226673,3.535345,-1.221617,1.499750,-0.829315,1.368090,-0.113374,0.078097,-0.203170,0.075454,-0.202427,0.102890
647527207923570290!,talented-antique-butterfly,0.030000,-2.186407,-1.427933,-1.186635,-1.449290,-0.864526,-0.502588,-1.379558,4.648147,-1.437761,1.923574,-1.039480,1.788062,-0.089089,0.063263,-0.146240,0.055927,-0.144138,0.094239
647527207923570290!,talented-antique-butterfly,0.040000,-2.200016,-1.377205,-1.201336,-1.428559,-0.875558,-0.483113,-1.331078,5.481682,-1.498845,2.219137,-1.160055,2.102399,-0.072074,0.052245,-0.106931,0.042632,-0.104063,0.086582
647527207923570290!,talented-antique-butterfly,0.050000,-2.212430,-1.319207,-1.216144,-1.405319,-0.887464,-0.460878,-1.143000,6.108091,-1.461131,2.427421,-1.216374,2.342241,-0.059989,0.043815,-0.079986,0.033643,-0.076791,0.079292
647527207923570290!,talented-antique-butterfly,0.060000,-2.222497,-1.255757,-1.230282,-1.380296,-0.899694,-0.436520,-0.863283,6.576872,-1.365321,2.577063,-1.226819,2.528548,-0.051193,0.037102,-0.061614,0.027590,-0.058412,0.071994
647527207923570290!,talented-antique-butterfly,0.070000,-2.229488,-1.188248,-1.243315,-1.353971,-0.911861,-0.410499,-0.528749,6.922133,-1.240264,2.688094,-1.204457,2.675514,-0.044541,0.031505,-0.049114,0.023506,-0.046138,0.064474
647527207923570290!,talented-antique-butterfly,0.080000,-2.232997,-1.117788,-1.255053,-1.326659,-0.923683,-0.383158,-0.167791,7.167591,-1.106099,2.774382,-1.158490,2.792782,-0.039241,0.026616,-0.040584,0.020713,-0.038001,0.056631
647527207923570290!,talented-antique-butterfly,0.090000,-2.232866,-1.045287,-1.265471,-1.298560,-0.934958,-0.354759,0.197505,7.330084,-0.976650,2.845318,-1.095402,2.886904,-0.034762,0.022181,-0.034695,0.018735,-0.032620,0.048462
647527207923570290!,talented-antique-butterfly,0.100000,-2.229135,-0.971505,-1.274660,-1.269795,-0.945539,-0.325508,0.549884,7.422087,-0.861148,2.907046,-1.019804,2.962344,-0.030761,0.018051,-0.030532,0.017249,-0.029038,0.040047
647527207923570290!,talented-antique-butterfly,0.110000,-2.222001,-0.897083,-1.282792,-1.240431,-0.955321,-0.295570,0.876019,7.453489,-0.765437,2.963380,-0.935036,3.022160,-0.027037,0.014162,-0.027474,0.016040,-0.026597,0.031530
647527207923570290!,talented-antique-butterfly,0.120000,-2.211800,-0.822620,-1.290097,-1.210515,-0.964220,-0.265103,1.166179,7.432893,-0.692455,3.016469,-0.843679,3.068595,-0.023495,0.010503,-0.025113,0.014976,-0.024860,0.023104
647527207923570290!,talented-antique-butterfly,0.130000,-2.198901,-0.748606,-1.296781,-1.180091,-0.972179,-0.234240,1.413779,7.368002,-0.643205,3.067390,-0.747708,3.103255,-0.020120,0.007100,-0.023203,0.013988,-0.023552,0.014982
647527207923570290!,talented-antique-butterfly,0.140000,-2.183751,-0.675428,-1.303086,-1.149167,-0.979161,-0.203084,1.614980,7.266329,-0.617297,3.116607,-0.648630,3.127335,-0.016935,0.003994,-0.021589,0.013044,-0.022498,0.007377
