ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
220767921613786358!,talented-antique-butterfly,0.000000,1.533042,-1.212485,1.484984,-0.213641,0.648324,-0.761364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.154054,0.053238,-0.053927,-0.001194,-0.035082,0.229099
220767921613786358!,talented-antique-butterfly,0.010000,1.527216,-1.209918,1.482027,-0.210940,0.647567,-0.762008,-1.163805,0.512772,-0.591456,0.538661,-0.150992,-0.128315,-0.218776,-0.058220,-0.127317,-0.110437,-0.110571,0.090431
220767921613786358!,talented-antique-butterfly,0.020000,1.512767,-1.205662,1.474048,-0.206412,0.644395,-0.764692,-1.726601,0.339366,-1.005201,0.367319,-0.483729,-0.407632,-0.201791,-0.066349,-0.108547,-0.121141,-0.092055,0.073174
220767921613786358!,talented-antique-butterfly,0.030000,1.493312,-1.203008,1.462211,-0.203492,0.638115,-0.769941,-2.163390,0.193029,-1.361601,0.217978,-0.771991,-0.639813,-0.189627,-0.072538,-0.095116,-0.128640,-0.078889,0.060116
220767921613786358!,talented-antique-butterfly,0.040000,1.469949,-1.201730,1.447002,-0.201993,0.629088,-0.777334,-2.506424,0.065162,-1.677480,0.084188,-1.031216,-0.834553,-0.180987,-0.077356,-0.085654,-0.133763,-0.069718,0.049992
220767921613786358!,talented-antique-butterfly,0.050000,1.443499,-1.201681,1.428765,-0.201789,0.617548,-0.786533,-2.778669,-0.051386,-1.964764,-0.039393,-1.272808,-0.999346,-0.174991,-0.081196,-0.079171,-0.137082,-0.063556,0.041972
220767921613786358!,talented-antique-butterfly,0.060000,1.414592,-1.202777,1.407741,-0.202800,0.603623,-0.797270,-2.996757,-0.162115,-2.232210,-0.156877,-1.505519,-1.139847,-0.171039,-0.084335,-0.074958,-0.138987,-0.059696,0.035499
220767921613786358!,talented-antique-butterfly,0.070000,1.383711,-1.204982,1.384094,-0.204982,0.587366,-0.809321,-3.172926,-0.270986,-2.486528,-0.271249,-1.736391,-1.260189,-0.168728,-0.086973,-0.072507,-0.139742,-0.057634,0.030197
220767921613786358!,talented-antique-butterfly,0.080000,1.351241,-1.208284,1.357944,-0.208306,0.568781,-0.822489,-3.316369,-0.380579,-2.733173,-0.384488,-1.971399,-1.363292,-0.167792,-0.089255,-0.071461,-0.139517,-0.057016,0.025809
220767921613786358!,talented-antique-butterfly,0.090000,1.317481,-1.212683,1.329364,-0.212753,0.547816,-0.836599,-3.434094,-0.492268,-2.976819,-0.497702,-2.215886,-1.450992,-0.168069,-0.091288,-0.071579,-0.138412,-0.057603,0.022160
220767921613786358!,talented-antique-butterfly,0.100000,1.282653,-1.218202,1.298358,-0.218326,0.524351,-0.851502,-3.531498,-0.606393,-3.221625,-0.611260,-2.474922,-1.524044,-0.169485,-0.093156,-0.072708,-0.136467,-0.059250,0.019137
220767921613786358!,talented-antique-butterfly,0.110000,1.246936,-1.224867,1.264890,-0.225029,0.498209,-0.867057,-3.612867,-0.722289,-3.471590,-0.724826,-2.753603,-1.582214,-0.172032,-0.094923,-0.074763,-0.133673,-0.061881,0.016670
220767921613786358!,talented-antique-butterfly,0.120000,1.210469,-1.232693,1.228883,-0.232863,0.469162,-0.883112,-3.681677,-0.838226,-3.730757,-0.837323,-3.057262,-1.624201,-0.175756,-0.096648,-0.077709,-0.129984,-0.065468,0.014722
220767921613786358!,talented-antique-butterfly,0.130000,1.173361,-1.241664,1.190215,-0.241806,0.436927,-0.899497,-3.740784,-0.951213,-4.003353,-0.946787,-3.391602,-1.647458,-0.180750,-0.098381,-0.081549,-0.125315,-0.070028,0.013281
220767921613786358!,talented-antique-butterfly,0.140000,1.135701,-1.251741,1.148731,-0.251825,0.401161,-0.916008,-3.792566,-1.056871,-4.293842,-1.050338,-3.762899,-1.647942,-0.187145,-0.100172,-0.086312,-0.119556,-0.075603,0.012353
220767921613786358!,talented-antique-butterfly,0.150000,1.097549,-1.262817,1.104222,-0.262840,0.361455,-0.932390,-3.838926,-1.148817,-4.606928,-1.143692,-4.177906,-1.619629,-0.195111,-0.102075,-0.092049,-0.112565,-0.082263,0.011955
220767921613786358!,talented-antique-butterfly,0.160000,1.058954,-1.274718,1.056434,-0.274721,0.317332,-0.948315,-3.881263,-1.218234,-4.947394,-1.220919,-4.643867,-1.553965,-0.204837,-0.104153,-0.098819,-0.104183,-0.090085,0.012105
220767921613786358!,talented-antique-butterfly,0.170000,1.019950,-1.287151,1.005083,-0.287261,0.268260,-0.963347,-3.920347,-1.253043,-5.319830,-1.273852,-5.168152,-1.439156,-0.216513,-0.106482,-0.106668,-0.094247,-0.099137,0.012800
220767921613786358!,talented-antique-butterfly,0.180000,0.980568,-1.299670,0.949829,-0.300142,0.213635,-0.976913,-3.955849,-1.236905,-5.727920,-1.291402,-5.757616,-1.259099,-0.230305,-0.109163,-0.115615,-0.082603,-0.109461,0.013989
220767921613786358!,talented-antique-butterfly,0.190000,0.940853,-1.311674,0.890300,-0.312953,0.152765,-0.988263,-3.985967,-1.148359,-6.173177,-1.259072,-6.417678,-0.992042,-0.246303,-0.112331,-0.125618,-0.069140,-0.121046,0.015534
220767921613786358!,talented-antique-butterfly,0.200000,0.900882,-1.322333,0.826136,-0.325131,0.084912,-0.996388,-4.006754,-0.959746,-6.653228,-1.158113,-7.150200,-0.609340,-0.264417,-0.116169,-0.136516,-0.053865,-0.133756,0.017127
220767921613786358!,talented-antique-butterfly,0.210000,0.860781,-1.330485,0.757027,-0.335882,0.009360,-0.999956,-4.010589,-0.636510,-7.159133,-0.964958,-7.950109,-0.074414,-0.284227,-0.120912,-0.147966,-0.037005,-0.147274,0.018186
220767921613786358!,talented-antique-butterfly,0.220000,0.820783,-1.334566,0.682785,-0.344134,-0.074497,-0.997221,-3.984099,-0.138205,-7.671504,-0.651972,-8.800771,0.657460,-0.304765,-0.126830,-0.159371,-0.019166,-0.161010,0.017744
220767921613786358!,talented-antique-butterfly,0.230000,0.781289,-1.332612,0.603510,-0.348541,-0.167012,-0.985955,-3.906564,0.577681,-8.155487,-0.189914,-9.667251,1.637545,-0.324188,-0.134179,-0.169762,-0.001590,-0.173970,0.014326
220767921613786358!,talented-antique-butterfly,0.240000,0.742958,-1.322256,0.519752,-0.347484,-0.268057,-0.963403,-3.747260,1.547341,-8.555697,0.446292,-10.488319,2.918272,-0.339432,-0.143034,-0.177767,0.013553,-0.184676,0.005953
220767921613786358!,talented-antique-butterfly,0.250000,0.706814,-1.300866,0.432740,-0.339158,-0.376725,-0.926325,-3.464013,2.785620,-8.793207,1.266874,-11.169175,4.542370,-0.345988,-0.153001,-0.181672,0.022897,-0.191172,-0.009558
220767921613786358!,talented-antique-butterfly,0.260000,0.674355,-1.265865,0.344602,-0.321798,-0.490972,-0.871175,-3.004846,4.264407,-8.768582,2.251193,-11.578940,6.525600,-0.338086,-0.162799,-0.179715,0.021872,-0.191243,-0.033856
220767921613786358!,talented-antique-butterfly,0.270000,0.647603,-1.215290,0.258511,-0.294091,-0.607289,-0.794481,-2.316609,5.889232,-8.376496,3.329685,-11.558278,8.834962,-0.309707,-0.169938,-0.170628,0.005303,-0.182938,-0.066913
220767921613786358!,talented-antique-butterfly,0.280000,0.629042,-1.148534,0.178599,-0.255729,-0.720519,-0.693435,-1.362528,7.484995,-7.535034,4.370809,-10.942118,11.369494,-0.256799,-0.170902,-0.154433,-0.030948,-0.165472,-0.105896
220767921613786358!,talented-antique-butterfly,0.290000,0.621322,-1.067109,0.109507,-0.208014,-0.823986,-0.566610,-0.149610,8.807071,-6.227384,5.186174,-9.595624,13.954337,-0.180234,-0.162319,-0.133076,-0.087464,-0.140190,-0.145086
220767921613786358!,talented-antique-butterfly,0.300000,0.626672,-0.975124,0.055524,-0.154278,-0.909989,-0.414633,1.242715,9.591170,-4.543034,5.565424,-7.453078,16.357172,-0.087977,-0.142974,-0.110345,-0.159012,-0.110940,-0.177597
220767921613786358!,talented-antique-butterfly,0.310000,0.646102,-0.879064,0.019411,-0.099796,-0.970630,-0.240576,2.648568,9.636822,-2.695564,5.339039,-4.542331,18.326536,0.005727,-0.115549,-0.090666,-0.234506,-0.083162,-0.198506
220767921613786358!,talented-antique-butterfly,0.320000,0.678591,-0.786692,0.001246,-0.051026,-0.998753,-0.049922,3.830530,8.895754,-0.998287,4.449745,-0.981523,19.636442,0.085020,-0.086576,-0.077084,-0.300383,-0.061673,-0.207619
